"Titre de tracé : p508"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 10445475, SEN S/N: 10445475, LBL: température)","Temp., °C (LGR S/N: 10445475, SEN S/N: 10445475, LBL: Température)","Hôte connecté (LGR S/N: 10445475)","Arrêté (LGR S/N: 10445475)","Fin de fichier (LGR S/N: 10445475)"
137,07/14/16 12:00:00 AM,1.25275,14.816,,,
138,07/14/16 12:15:00 AM,1.25214,14.721,,,
139,07/14/16 12:30:00 AM,1.25214,14.625,,,
140,07/14/16 12:45:00 AM,1.25153,14.529,,,
141,07/14/16 01:00:00 AM,1.25214,14.433,,,
142,07/14/16 01:15:00 AM,1.25153,14.337,,,
143,07/14/16 01:30:00 AM,1.25153,14.218,,,
144,07/14/16 01:45:00 AM,1.25214,14.122,,,
145,07/14/16 02:00:00 AM,1.25153,14.026,,,
146,07/14/16 02:15:00 AM,1.26374,13.906,,,
147,07/14/16 02:30:00 AM,1.26435,13.834,,,
148,07/14/16 02:45:00 AM,1.26374,13.714,,,
149,07/14/16 03:00:00 AM,1.26374,13.618,,,
150,07/14/16 03:15:00 AM,1.26374,13.570,,,
151,07/14/16 03:30:00 AM,1.26374,13.497,,,
152,07/14/16 03:45:00 AM,1.26190,13.425,,,
153,07/14/16 04:00:00 AM,1.26374,13.353,,,
154,07/14/16 04:15:00 AM,1.26374,13.281,,,
155,07/14/16 04:30:00 AM,1.26190,13.209,,,
156,07/14/16 04:45:00 AM,1.26435,13.137,,,
157,07/14/16 05:00:00 AM,1.26435,13.064,,,
158,07/14/16 05:15:00 AM,1.26374,13.016,,,
159,07/14/16 05:30:00 AM,1.26313,12.968,,,
160,07/14/16 05:45:00 AM,1.26374,12.944,,,
161,07/14/16 06:00:00 AM,1.26313,12.896,,,
162,07/14/16 06:15:00 AM,1.26313,12.847,,,
163,07/14/16 06:30:00 AM,1.26313,12.847,,,
164,07/14/16 06:45:00 AM,1.26313,12.896,,,
165,07/14/16 07:00:00 AM,1.26313,12.920,,,
166,07/14/16 07:15:00 AM,1.26374,12.992,,,
167,07/14/16 07:30:00 AM,1.26313,12.992,,,
168,07/14/16 07:45:00 AM,1.26313,12.968,,,
169,07/14/16 08:00:00 AM,1.26374,12.968,,,
170,07/14/16 08:15:00 AM,1.26374,12.968,,,
171,07/14/16 08:30:00 AM,1.26313,12.968,,,
172,07/14/16 08:45:00 AM,1.26313,12.992,,,
173,07/14/16 09:00:00 AM,1.26313,13.040,,,
174,07/14/16 09:15:00 AM,1.26374,13.088,,,
175,07/14/16 09:30:00 AM,1.26374,13.137,,,
176,07/14/16 09:45:00 AM,1.26374,13.161,,,
177,07/14/16 10:00:00 AM,1.26374,13.233,,,
178,07/14/16 10:15:00 AM,1.26374,13.473,,,
179,07/14/16 10:30:00 AM,1.26435,13.714,,,
180,07/14/16 10:45:00 AM,1.26496,13.906,,,
181,07/14/16 11:00:00 AM,1.26435,14.050,,,
182,07/14/16 11:15:00 AM,1.26557,14.170,,,
183,07/14/16 11:30:00 AM,1.26557,14.385,,,
184,07/14/16 11:45:00 AM,1.26557,14.553,,,
185,07/14/16 12:00:00 PM,1.26557,14.457,,,
186,07/14/16 12:15:00 PM,1.26557,14.601,,,
187,07/14/16 12:30:00 PM,1.26618,15.199,,,
188,07/14/16 12:45:00 PM,1.26618,15.366,,,
189,07/14/16 01:00:00 PM,1.26679,15.605,,,
190,07/14/16 01:15:00 PM,1.26679,15.843,,,
191,07/14/16 01:30:00 PM,1.26740,16.034,,,
192,07/14/16 01:45:00 PM,1.26801,16.296,,,
193,07/14/16 02:00:00 PM,1.26984,16.296,,,
194,07/14/16 02:15:00 PM,1.26862,15.915,,,
195,07/14/16 02:30:00 PM,1.26984,15.700,,,
196,07/14/16 02:45:00 PM,1.26923,15.629,,,
197,07/14/16 03:00:00 PM,1.26801,15.652,,,
198,07/14/16 03:15:00 PM,1.26923,15.724,,,
199,07/14/16 03:30:00 PM,1.26923,15.963,,,
200,07/14/16 03:45:00 PM,1.26923,16.272,,,
201,07/14/16 04:00:00 PM,1.26923,16.534,,,
202,07/14/16 04:15:00 PM,1.26923,16.796,,,
203,07/14/16 04:30:00 PM,1.26923,16.844,,,
204,07/14/16 04:45:00 PM,1.26984,17.082,,,
205,07/14/16 05:00:00 PM,1.26984,16.963,,,
206,07/14/16 05:15:00 PM,1.26984,16.844,,,
207,07/14/16 05:30:00 PM,1.27106,16.677,,,
208,07/14/16 05:45:00 PM,1.27045,16.654,,,
209,07/14/16 06:00:00 PM,1.27045,16.725,,,
210,07/14/16 06:15:00 PM,1.26984,16.701,,,
211,07/14/16 06:30:00 PM,1.26984,16.654,,,
212,07/14/16 06:45:00 PM,1.27045,16.606,,,
213,07/14/16 07:00:00 PM,1.27045,16.606,,,
214,07/14/16 07:15:00 PM,1.27045,16.582,,,
215,07/14/16 07:30:00 PM,1.26984,16.463,,,
216,07/14/16 07:45:00 PM,1.27106,16.344,,,
217,07/14/16 08:00:00 PM,1.27045,16.225,,,
218,07/14/16 08:15:00 PM,1.26984,16.129,,,
219,07/14/16 08:30:00 PM,1.26984,16.010,,,
220,07/14/16 08:45:00 PM,1.26984,15.891,,,
221,07/14/16 09:00:00 PM,1.26923,15.772,,,
222,07/14/16 09:15:00 PM,1.26923,15.676,,,
223,07/14/16 09:30:00 PM,1.24725,15.581,,,
224,07/14/16 09:45:00 PM,1.26862,15.485,,,
225,07/14/16 10:00:00 PM,1.26862,15.390,,,
226,07/14/16 10:15:00 PM,1.26862,15.294,,,
227,07/14/16 10:30:00 PM,1.26801,15.175,,,
228,07/14/16 10:45:00 PM,1.26862,15.079,,,
229,07/14/16 11:00:00 PM,1.26801,14.960,,,
230,07/14/16 11:15:00 PM,1.26862,14.864,,,
231,07/14/16 11:30:00 PM,1.26801,14.768,,,
232,07/14/16 11:45:00 PM,1.26801,14.673,,,
233,07/15/16 12:00:00 AM,1.26801,14.601,,,
234,07/15/16 12:15:00 AM,1.26801,14.505,,,
235,07/15/16 12:30:00 AM,1.26740,14.433,,,
236,07/15/16 12:45:00 AM,1.26801,14.337,,,
237,07/15/16 01:00:00 AM,1.26740,14.242,,,
238,07/15/16 01:15:00 AM,1.26740,14.170,,,
239,07/15/16 01:30:00 AM,1.26679,14.074,,,
240,07/15/16 01:45:00 AM,1.26740,14.002,,,
241,07/15/16 02:00:00 AM,1.27656,13.930,,,
242,07/15/16 02:15:00 AM,1.27656,13.834,,,
243,07/15/16 02:30:00 AM,1.27656,13.786,,,
244,07/15/16 02:45:00 AM,1.27656,13.714,,,
245,07/15/16 03:00:00 AM,1.27656,13.642,,,
246,07/15/16 03:15:00 AM,1.27717,13.594,,,
247,07/15/16 03:30:00 AM,1.27717,13.522,,,
248,07/15/16 03:45:00 AM,1.27595,13.473,,,
249,07/15/16 04:00:00 AM,1.27656,13.401,,,
250,07/15/16 04:15:00 AM,1.27656,13.329,,,
