,date,t1,t2,t3,t4
969,2022-03-13 16:30:00,8.551111111111112,8.554238005050555,,8.287777777777777
970,2022-03-13 16:45:00,8.567777777777776,8.559365740740793,,8.287777777777777
971,2022-03-13 17:00:00,8.585,8.56465235690241,,8.287777777777777
972,2022-03-13 17:15:00,8.601111111111111,8.569989898989954,,8.287777777777777
973,2022-03-13 17:30:00,8.614999999999998,8.575609427609479,,8.289999999999997
974,2022-03-13 17:45:00,8.627222222222224,8.581411405723962,,8.289999999999997
975,2022-03-13 18:00:00,8.637777777777778,8.587166666666718,,8.289999999999997
976,2022-03-13 18:15:00,8.648888888888887,8.59298926767682,,8.289999999999997
977,2022-03-13 18:30:00,8.65777777777778,8.598736952862005,,8.289999999999997
978,2022-03-13 18:45:00,8.666111111111109,8.604327651515206,,8.289999999999997
979,2022-03-13 19:00:00,8.672222222222222,8.609802609427662,,8.289999999999997
980,2022-03-13 19:15:00,8.677222222222222,8.615267466330021,,8.29111111111111
981,2022-03-13 19:30:00,8.68111111111111,8.620665404040459,,8.29111111111111
982,2022-03-13 19:45:00,8.68611111111111,8.62588362794618,,8.29111111111111
983,2022-03-13 20:00:00,8.688888888888888,8.630963383838436,,8.292777777777777
984,2022-03-13 20:15:00,8.692222222222222,8.635954335016889,,8.292777777777777
985,2022-03-13 20:30:00,8.693888888888889,8.640823442760995,,8.29388888888889
986,2022-03-13 20:45:00,8.693888888888889,8.645466961279514,,8.29388888888889
987,2022-03-13 21:00:00,8.693888888888889,8.649921296296347,,8.296111111111111
988,2022-03-13 21:15:00,8.692222222222222,8.65424873737379,,8.296111111111111
989,2022-03-13 21:30:00,8.688888888888888,8.658285353535405,,8.297222222222222
990,2022-03-13 21:45:00,8.687777777777777,8.66201851851857,,8.29888888888889
991,2022-03-13 22:00:00,8.685,8.665480429292984,,8.29888888888889
992,2022-03-13 22:15:00,8.68111111111111,8.668814604377156,,8.30111111111111
993,2022-03-13 22:30:00,8.677777777777775,8.671813762626316,,8.30111111111111
994,2022-03-13 22:45:00,8.673888888888888,8.674497474747527,,8.302222222222223
995,2022-03-13 23:00:00,8.668888888888889,8.676911195286246,,8.30388888888889
996,2022-03-13 23:15:00,8.666111111111109,8.679054924242477,,8.30388888888889
997,2022-03-13 23:30:00,8.66,8.680990951178506,,8.304999999999998
998,2022-03-13 23:45:00,8.655,8.682633838383891,,8.307222222222224
999,2022-03-14 00:00:00,8.648888888888887,8.684109006734058,,8.307777777777778
1000,2022-03-14 00:15:00,8.642777777777779,8.685309974747527,,8.307777777777778
1001,2022-03-14 00:30:00,8.636111111111111,8.686245791245842,,8.309999999999999
1002,2022-03-14 00:45:00,8.627222222222224,8.68703198653204,,8.311111111111112
1003,2022-03-14 01:00:00,8.617777777777778,8.68756628787884,,8.311111111111112
1004,2022-03-14 01:15:00,8.604999999999999,8.68780176767682,,8.312777777777779
1005,2022-03-14 01:30:00,8.59111111111111,8.687617213804765,,8.315
1006,2022-03-14 01:45:00,8.576111111111109,8.687207912457964,,8.31611111111111
1007,2022-03-14 02:00:00,8.56,8.686424663299716,,8.317777777777778
1008,2022-03-14 02:15:00,8.54277777777778,8.685238005050557,,8.318888888888887
1009,2022-03-14 02:30:00,8.527777777777779,8.68365277777783,,8.321111111111112
1010,2022-03-14 02:45:00,8.511111111111111,8.681655723905775,,8.322222222222221
1011,2022-03-14 03:00:00,8.494999999999997,8.679353324915878,,8.323888888888886
1012,2022-03-14 03:15:00,8.477777777777776,8.676559974747526,,8.323888888888886
1013,2022-03-14 03:30:00,8.462222222222222,8.67350399831655,,8.325
