Titre de tracé : T46,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)","Temp., °C (LGR S/N: 10117166, SEN S/N: 10117166, LBL: Température)",Hôte connecté (LGR S/N: 10117166),Arrêté (LGR S/N: 10117166),Fin de fichier (LGR S/N: 10117166)
283,30/08/2019 12:30,22.4503411,20.17794004,18.11514457,15.991,,,
284,30/08/2019 12:45,22.4772299,20.18040814,18.11433346,16.012,,,
285,30/08/2019 13:00,22.50222769,20.18333302,18.11394853,16.035,,,
286,30/08/2019 13:15,22.52482591,20.18669845,18.11399892,16.057,,,
287,30/08/2019 13:30,22.54472973,20.19047741,18.11449199,16.08,,,
288,30/08/2019 13:45,22.56204784,20.19463012,18.11543191,16.101,,,
289,30/08/2019 14:00,22.57701195,20.19910621,18.11681855,16.122,,,
290,30/08/2019 14:15,22.58973864,20.20384826,18.11864758,16.143,,,
291,30/08/2019 14:30,22.60020859,20.20879468,18.12091005,16.162,,,
292,30/08/2019 14:45,22.60852615,20.21388336,18.12359197,16.18,,,
293,30/08/2019 15:00,22.61500424,20.21905695,18.12667504,16.198,,,
294,30/08/2019 15:15,22.61996461,20.22426826,18.13013835,16.216,,,
295,30/08/2019 15:30,22.623709,20.2294832,18.13395953,16.233,,,
296,30/08/2019 15:45,22.62636678,20.23467937,18.13811453,16.248,,,
297,30/08/2019 16:00,22.62815744,20.2398431,18.14257793,16.263,,,
298,30/08/2019 16:15,22.62899339,20.24496539,18.14732301,16.276,,,
299,30/08/2019 16:30,22.62853714,20.25003703,18.15232185,16.288,,,
300,30/08/2019 16:45,22.62675534,20.25504604,18.15754638,16.3,,,
301,30/08/2019 17:00,22.62357395,20.25997717,18.16296922,16.311,,,
302,30/08/2019 17:15,22.61901169,20.264813,18.16856342,16.32,,,
303,30/08/2019 17:30,22.61305215,20.26953533,18.17430244,16.329,,,
304,30/08/2019 17:45,22.60550785,20.27412496,18.18015989,16.336,,,
305,30/08/2019 18:00,22.59658376,20.27856247,18.18610921,16.342,,,
306,30/08/2019 18:15,22.58640366,20.2828291,18.19212434,16.348,,,
307,30/08/2019 18:30,22.57498091,20.28690628,18.19817917,16.351,,,
308,30/08/2019 18:45,22.5627136,20.29077727,18.20424754,16.354,,,
309,30/08/2019 19:00,22.5498787,20.29442987,18.21030376,16.356,,,
310,30/08/2019 19:15,22.53641385,20.29785663,18.21632307,16.357,,,
311,30/08/2019 19:30,22.5221538,20.30105178,18.22228126,16.356,,,
312,30/08/2019 19:45,22.50714697,20.30400877,18.22815431,16.354,,,
313,30/08/2019 20:00,22.49158641,20.30671973,18.23391849,16.351,,,
314,30/08/2019 20:15,22.47555279,20.30917568,18.23955128,16.348,,,
315,30/08/2019 20:30,22.45916097,20.3113671,18.245032,16.344,,,
316,30/08/2019 20:45,22.44251317,20.31328439,18.25034113,16.338,,,
317,30/08/2019 21:00,22.42575978,20.31491864,18.25546011,16.332,,,
318,30/08/2019 21:15,22.4089881,20.31626232,18.2603719,16.326,,,
319,30/08/2019 21:30,22.3920782,20.31730849,18.26506068,16.318,,,
320,30/08/2019 21:45,22.37514792,20.31805083,18.26951222,16.311,,,
321,30/08/2019 22:00,22.35829889,20.31848496,18.27371345,16.302,,,
322,30/08/2019 22:15,22.34150569,20.31860898,18.2776528,16.294,,,
323,30/08/2019 22:30,22.32497119,20.31842414,18.28132027,16.285,,,
324,30/08/2019 22:45,22.30894547,20.31793731,18.28470752,16.276,,,
325,30/08/2019 23:00,22.29333664,20.31716042,18.28780801,16.267,,,
326,30/08/2019 23:15,22.27815593,20.31610974,18.29061722,16.258,,,
327,30/08/2019 23:30,22.26326644,20.31480357,18.29313213,16.248,,,
328,30/08/2019 23:45,22.24859931,20.31326031,18.29535019,16.237,,,
329,31/08/2019 00:00,22.23427597,20.31149903,18.2972702,16.228,,,
330,31/08/2019 00:15,22.22013881,20.30953935,18.29889281,16.218,,,
331,31/08/2019 00:30,22.20591269,20.30739902,18.30021987,16.207,,,
332,31/08/2019 00:45,22.19106941,20.30508861,18.30125314,16.195,,,
333,31/08/2019 01:00,22.17547825,20.3026083,18.30199498,16.185,,,
334,31/08/2019 01:15,22.15926038,20.29994887,18.30244816,16.173,,,
335,31/08/2019 01:30,22.14268499,20.2970964,18.30261531,16.161,,,
336,31/08/2019 01:45,22.12598389,20.29403776,18.30249871,16.149,,,
337,31/08/2019 02:00,22.10886022,20.29076116,18.30210057,16.137,,,
338,31/08/2019 02:15,22.09131607,20.28725498,18.30142202,16.123,,,
339,31/08/2019 02:30,22.07352022,20.28350797,18.30046322,16.11,,,
340,31/08/2019 02:45,22.05559185,20.27951017,18.29922349,16.096,,,
341,31/08/2019 03:00,22.03788491,20.27525563,18.29770222,16.083,,,
342,31/08/2019 03:15,22.02072135,20.27074542,18.2958986,16.068,,,
343,31/08/2019 03:30,22.00405439,20.26598753,18.29381186,16.054,,,
344,31/08/2019 03:45,21.98811668,20.26099618,18.29144134,16.039,,,
345,31/08/2019 04:00,21.97302234,20.2557907,18.28878667,16.024,,,
346,31/08/2019 04:15,21.95879912,20.25039334,18.2858482,16.009,,,
347,31/08/2019 04:30,21.94531742,20.24482561,18.28262736,15.994,,,
348,31/08/2019 04:45,21.93273268,20.23910611,18.27912688,15.979,,,
