Plot Title: hobo11,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature1)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature2)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature3)","Temp., °C (LGR S/N: 21065777, SEN S/N: 21065777, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065777),Arrêté (LGR S/N: 21065777),Fin de fichier (LGR S/N: 21065777)
164,2009/11/24 9:45,15.402,15.476,15.673,15.722,,,
165,2009/11/24 10:00,15.388,15.464,15.651,15.719,,,
166,2009/11/24 10:15,15.373,15.466,15.655,15.716,,,
167,2009/11/24 10:30,15.361,15.437,15.642,15.713,,,
168,2009/11/24 10:45,15.348,15.43,15.64,15.71,,,
169,2009/11/24 11:00,15.334,15.434,15.633,15.706,,,
170,2009/11/24 11:15,15.323,15.423,15.616,15.703,,,
171,2009/11/24 11:30,15.314,15.411,15.606,15.699,,,
172,2009/11/24 11:45,15.306,15.409,15.597,15.693,,,
173,2009/11/24 12:00,15.3,15.382,15.611,15.688,,,
174,2009/11/24 12:15,15.296,15.406,15.59,15.684,,,
175,2009/11/24 12:30,15.29,15.378,15.584,15.678,,,
176,2009/11/24 12:45,15.287,15.358,15.567,15.673,,,
177,2009/11/24 13:00,15.281,15.384,15.564,15.669,,,
178,2009/11/24 13:15,15.273,15.414,15.569,15.663,,,
179,2009/11/24 13:30,15.267,15.393,15.563,15.658,,,
180,2009/11/24 13:45,15.258,15.375,15.531,15.654,,,
181,2009/11/24 14:00,15.251,15.376,15.534,15.649,,,
182,2009/11/24 14:15,15.246,15.387,15.528,15.645,,,
183,2009/11/24 14:30,15.245,15.381,15.531,15.637,,,
184,2009/11/24 14:45,15.243,15.379,15.525,15.634,,,
185,2009/11/24 15:00,15.242,15.379,15.517,15.63,,,
186,2009/11/24 15:15,15.242,15.385,15.512,15.625,,,
187,2009/11/24 15:30,15.245,15.363,15.512,15.619,,,
188,2009/11/24 15:45,15.245,15.352,15.512,15.615,,,
189,2009/11/24 16:00,15.245,15.372,15.509,15.611,,,
190,2009/11/24 16:15,15.249,15.33,15.506,15.606,,,
191,2009/11/24 16:30,15.249,15.318,15.505,15.603,,,
192,2009/11/24 16:45,15.251,15.306,15.509,15.599,,,
193,2009/11/24 17:00,15.248,15.309,15.467,15.594,,,
194,2009/11/24 17:15,15.243,15.312,15.461,15.591,,,
195,2009/11/24 17:30,15.237,15.311,15.469,15.584,,,
196,2009/11/24 17:45,15.233,15.33,15.481,15.581,,,
197,2009/11/24 18:00,15.228,15.296,15.493,15.579,,,
198,2009/11/24 18:15,15.223,15.305,15.448,15.573,,,
199,2009/11/24 18:30,15.215,15.303,15.44,15.567,,,
200,2009/11/24 18:45,15.206,15.288,15.449,15.566,,,
201,2009/11/24 19:00,15.2,15.275,15.46,15.56,,,
202,2009/11/24 19:15,15.194,15.302,15.469,15.555,,,
203,2009/11/24 19:30,15.188,15.296,15.472,15.554,,,
204,2009/11/24 19:45,15.179,15.3,15.445,15.545,,,
205,2009/11/24 20:00,15.167,15.303,15.443,15.542,,,
206,2009/11/24 20:15,15.155,15.264,15.429,15.539,,,
207,2009/11/24 20:30,15.143,15.245,15.426,15.534,,,
208,2009/11/24 20:45,15.13,15.288,15.415,15.53,,,
209,2009/11/24 21:00,15.112,15.206,15.414,15.527,,,
210,2009/11/24 21:15,15.094,15.211,15.406,15.523,,,
211,2009/11/24 21:30,15.078,15.214,15.415,15.52,,,
212,2009/11/24 21:45,15.061,15.208,15.375,15.514,,,
213,2009/11/24 22:00,15.039,15.158,15.378,15.508,,,
214,2009/11/24 22:15,15.018,15.139,15.385,15.505,,,
215,2009/11/24 22:30,14.997,15.166,15.363,15.502,,,
216,2009/11/24 22:45,14.97,15.137,15.355,15.5,,,
217,2009/11/24 23:00,14.946,15.163,15.342,15.493,,,
218,2009/11/24 23:15,14.924,15.163,15.333,15.484,,,
219,2009/11/24 23:30,14.897,15.152,15.329,15.484,,,
220,2009/11/24 23:45,14.871,15.087,15.317,15.478,,,
221,2009/12/24 0:00,14.849,15.061,15.317,15.473,,,
222,2009/12/24 0:15,14.827,15.04,15.29,15.458,,,
223,2009/12/24 0:30,14.803,15.058,15.293,15.461,,,
224,2009/12/24 0:45,14.782,15.06,15.273,15.445,,,
225,2009/12/24 1:00,14.755,15.031,15.287,15.443,,,
226,2009/12/24 1:15,14.737,14.973,15.245,15.427,,,
227,2009/12/24 1:30,14.714,14.972,15.242,15.415,,,
228,2009/12/24 1:45,14.696,14.978,15.23,15.414,,,
229,2009/12/24 2:00,14.676,14.927,15.212,15.408,,,
230,2009/12/24 2:15,14.653,14.883,15.208,15.399,,,
231,2009/12/24 2:30,14.631,14.891,15.196,15.382,,,
232,2009/12/24 2:45,14.607,14.833,15.196,15.391,,,
233,2009/12/24 3:00,14.587,14.874,15.227,15.369,,,
234,2009/12/24 3:15,14.563,14.868,15.157,15.385,,,
235,2009/12/24 3:30,14.539,14.833,15.136,15.342,,,
236,2009/12/24 3:45,14.512,14.783,15.13,15.354,,,
237,2009/12/24 4:00,14.486,14.83,15.122,15.336,,,
238,2009/12/24 4:15,14.46,14.88,15.119,15.312,,,
239,2009/12/24 4:30,14.436,14.818,15.16,15.345,,,
240,2009/12/24 4:45,14.411,14.755,15.116,15.293,,,
241,2009/12/24 5:00,14.384,14.779,15.085,15.285,,,
242,2009/12/24 5:15,14.36,14.617,15.039,15.263,,,
243,2009/12/24 5:30,14.333,14.632,15.048,15.281,,,
244,2009/12/24 5:45,14.301,14.746,15.042,15.248,,,
245,2009/12/24 6:00,14.274,14.686,15.031,15.246,,,
246,2009/12/24 6:15,14.246,14.714,14.991,15.223,,,
247,2009/12/24 6:30,14.22,14.726,14.994,15.223,,,
248,2009/12/24 6:45,14.185,14.64,15.109,15.181,,,
249,2009/12/24 7:00,14.158,14.671,15.063,15.199,,,
250,2009/12/24 7:15,14.129,14.602,15.004,15.149,,,
251,2009/12/24 7:30,14.107,14.46,14.955,15.16,,,
252,2009/12/24 7:45,14.075,14.544,14.972,15.149,,,
253,2009/12/24 8:00,14.045,14.577,14.906,15.121,,,
254,2009/12/24 8:15,14.015,14.524,14.94,15.112,,,
255,2009/12/24 8:30,13.991,14.542,14.865,15.084,,,
256,2009/12/24 8:45,13.969,14.53,14.867,15.069,,,
257,2009/12/24 9:00,13.948,14.517,14.849,15.079,,,
258,2009/12/24 9:15,13.93,14.49,14.768,15.051,,,
259,2009/12/24 9:30,13.918,14.468,14.821,15.054,,,
260,2009/12/24 9:45,13.907,14.442,14.744,15.024,,,
