"Titre de tracé : Hobo33"
"#","Date Heure, GMT+02:00","Tension, V (LGR S/N: 10117169, SEN S/N: 10117169)","Temp., °C (LGR S/N: 10117169, SEN S/N: 10117169)"
190,07/25/15 01:15:00 PM,0.57387,16.511
191,07/25/15 01:30:00 PM,0.57387,16.558
192,07/25/15 01:45:00 PM,0.57387,16.534
193,07/25/15 02:00:00 PM,0.57387,16.654
194,07/25/15 02:15:00 PM,0.57387,16.582
195,07/25/15 02:30:00 PM,0.57387,16.749
196,07/25/15 02:45:00 PM,0.57326,16.582
197,07/25/15 03:00:00 PM,0.57326,16.582
198,07/25/15 03:15:00 PM,0.57326,16.558
199,07/25/15 03:30:00 PM,0.57326,16.630
200,07/25/15 03:45:00 PM,0.57326,16.534
201,07/25/15 04:00:00 PM,0.57326,16.487
202,07/25/15 04:15:00 PM,0.57326,16.511
203,07/25/15 04:30:00 PM,0.57326,16.511
204,07/25/15 04:45:00 PM,0.57326,16.487
205,07/25/15 05:00:00 PM,0.57265,16.511
206,07/25/15 05:15:00 PM,0.57265,16.463
207,07/25/15 05:30:00 PM,0.57265,16.439
208,07/25/15 05:45:00 PM,0.57265,16.439
209,07/25/15 06:00:00 PM,0.57265,16.439
210,07/25/15 06:15:00 PM,0.57265,16.439
211,07/25/15 06:30:00 PM,0.57265,16.439
212,07/25/15 06:45:00 PM,0.57265,16.415
213,07/25/15 07:00:00 PM,0.57265,16.415
214,07/25/15 07:15:00 PM,0.57265,16.392
215,07/25/15 07:30:00 PM,0.57265,16.392
216,07/25/15 07:45:00 PM,0.57265,16.392
217,07/25/15 08:00:00 PM,0.57265,16.344
218,07/25/15 08:15:00 PM,0.57265,16.344
219,07/25/15 08:30:00 PM,0.57265,16.296
220,07/25/15 08:45:00 PM,0.57265,16.272
221,07/25/15 09:00:00 PM,0.57265,16.249
222,07/25/15 09:15:00 PM,0.57265,16.177
223,07/25/15 09:30:00 PM,0.57265,16.153
224,07/25/15 09:45:00 PM,0.57265,16.082
225,07/25/15 10:00:00 PM,0.57265,16.034
226,07/25/15 10:15:00 PM,0.57265,15.986
227,07/25/15 10:30:00 PM,0.57265,15.963
228,07/25/15 10:45:00 PM,0.57265,15.891
229,07/25/15 11:00:00 PM,0.57265,15.843
230,07/25/15 11:15:00 PM,0.57265,15.772
231,07/25/15 11:30:00 PM,0.57265,15.724
232,07/25/15 11:45:00 PM,0.57265,15.652
233,07/26/15 12:00:00 AM,0.57265,15.605
234,07/26/15 12:15:00 AM,0.57265,15.533
235,07/26/15 12:30:00 AM,0.57265,15.461
236,07/26/15 12:45:00 AM,0.57265,15.414
237,07/26/15 01:00:00 AM,0.57265,15.342
238,07/26/15 01:15:00 AM,0.57265,15.270
239,07/26/15 01:30:00 AM,0.57265,15.223
240,07/26/15 01:45:00 AM,0.57265,15.151
241,07/26/15 02:00:00 AM,0.57265,15.103
242,07/26/15 02:15:00 AM,0.57265,15.031
243,07/26/15 02:30:00 AM,0.57265,14.960
244,07/26/15 02:45:00 AM,0.57265,14.864
245,07/26/15 03:00:00 AM,0.57265,14.792
246,07/26/15 03:15:00 AM,0.57265,14.721
247,07/26/15 03:30:00 AM,0.57265,14.649
248,07/26/15 03:45:00 AM,0.57265,14.601
249,07/26/15 04:00:00 AM,0.57265,14.529
250,07/26/15 04:15:00 AM,0.57265,14.457
251,07/26/15 04:30:00 AM,0.57265,14.361
252,07/26/15 04:45:00 AM,0.57265,14.290
253,07/26/15 05:00:00 AM,0.57326,14.218
254,07/26/15 05:15:00 AM,0.57326,14.146
255,07/26/15 05:30:00 AM,0.57326,14.098
256,07/26/15 05:45:00 AM,0.57326,14.026
257,07/26/15 06:00:00 AM,0.57326,13.978
258,07/26/15 06:15:00 AM,0.57326,13.954
259,07/26/15 06:30:00 AM,0.57326,13.906
260,07/26/15 06:45:00 AM,0.57326,13.882
261,07/26/15 07:00:00 AM,0.57326,13.858
262,07/26/15 07:15:00 AM,0.57326,13.834
263,07/26/15 07:30:00 AM,0.57326,13.834
264,07/26/15 07:45:00 AM,0.57326,13.810
265,07/26/15 08:00:00 AM,0.57326,13.786
266,07/26/15 08:15:00 AM,0.57326,13.786
267,07/26/15 08:30:00 AM,0.57326,13.786
268,07/26/15 08:45:00 AM,0.57326,13.834
269,07/26/15 09:00:00 AM,0.57326,13.834
270,07/26/15 09:15:00 AM,0.57326,13.834
271,07/26/15 09:30:00 AM,0.57326,13.882
272,07/26/15 09:45:00 AM,0.57326,13.930
273,07/26/15 10:00:00 AM,0.57326,14.002
274,07/26/15 10:15:00 AM,0.57265,14.026
275,07/26/15 10:30:00 AM,0.57265,14.050
276,07/26/15 10:45:00 AM,0.57265,14.098
277,07/26/15 11:00:00 AM,0.57265,14.074
278,07/26/15 11:15:00 AM,0.57265,14.074
279,07/26/15 11:30:00 AM,0.57265,14.122
280,07/26/15 11:45:00 AM,0.57265,14.170
281,07/26/15 12:00:00 PM,0.57265,14.218
282,07/26/15 12:15:00 PM,0.57204,14.242
283,07/26/15 12:30:00 PM,0.57265,14.290
284,07/26/15 12:45:00 PM,0.57204,14.314
285,07/26/15 01:00:00 PM,0.57204,14.385
286,07/26/15 01:15:00 PM,0.57204,14.457
287,07/26/15 01:30:00 PM,0.57204,14.433
288,07/26/15 01:45:00 PM,0.57204,14.409
289,07/26/15 02:00:00 PM,0.57143,14.409
290,07/26/15 02:15:00 PM,0.57204,14.409
291,07/26/15 02:30:00 PM,0.57204,14.433
292,07/26/15 02:45:00 PM,0.57143,14.433
293,07/26/15 03:00:00 PM,0.57143,14.433
294,07/26/15 03:15:00 PM,0.57143,14.433
295,07/26/15 03:30:00 PM,0.57143,14.433
296,07/26/15 03:45:00 PM,0.57143,14.457
297,07/26/15 04:00:00 PM,0.57143,14.481
298,07/26/15 04:15:00 PM,0.57143,14.481
299,07/26/15 04:30:00 PM,0.57143,14.505
300,07/26/15 04:45:00 PM,0.57143,14.481
301,07/26/15 05:00:00 PM,0.57082,14.457
302,07/26/15 05:15:00 PM,0.57082,14.457
303,07/26/15 05:30:00 PM,0.57143,14.433
304,07/26/15 05:45:00 PM,0.57082,14.433
305,07/26/15 06:00:00 PM,0.57082,14.433
306,07/26/15 06:15:00 PM,0.57082,14.433
