"Date Heure, GMT+01:00",Température 1 (°C),Température 2 (°C),Température 3 (°C),Température 4 (°C)
16/07/03 06:30,13.834,14.002,14.05,13.93
16/07/03 06:45,13.81,14.002,14.05,13.93
16/07/03 07:00,13.786,13.978,14.026,13.93
16/07/03 07:15,13.762,13.978,14.026,13.906
16/07/03 07:30,13.762,13.954,14.026,13.906
16/07/03 07:45,13.738,13.954,14.002,13.906
16/07/03 08:00,13.714,13.93,14.002,13.906
16/07/03 08:15,13.714,13.93,14.002,13.906
16/07/03 08:30,13.69,13.93,14.002,13.906
16/07/03 08:45,13.69,13.906,13.978,13.906
16/07/03 09:00,13.666,13.906,13.978,13.906
16/07/03 09:15,13.666,13.882,13.978,13.882
16/07/03 09:30,13.666,13.882,13.954,13.882
16/07/03 09:45,13.642,13.858,13.954,13.882
16/07/03 10:00,13.642,13.858,13.954,13.858
16/07/03 10:15,13.642,13.834,13.93,13.858
16/07/03 10:30,13.642,13.834,13.93,13.858
16/07/03 10:45,13.642,13.834,13.93,13.858
16/07/03 11:00,13.642,13.81,13.906,13.858
16/07/03 11:15,13.642,13.81,13.906,13.858
16/07/03 11:30,13.642,13.81,13.906,13.834
16/07/03 11:45,13.642,13.786,13.906,13.834
16/07/03 12:00,13.642,13.786,13.906,13.834
16/07/03 12:15,13.642,13.786,13.882,13.834
16/07/03 12:30,13.666,13.786,13.882,13.834
16/07/03 12:45,13.666,13.786,13.882,13.834
16/07/03 13:00,13.69,13.762,13.882,13.81
16/07/03 13:15,13.69,13.786,13.858,13.81
16/07/03 13:30,13.714,13.786,13.858,13.81
16/07/03 13:45,13.714,13.762,13.858,13.81
16/07/03 14:00,13.738,13.762,13.858,13.786
16/07/03 14:15,13.738,13.786,13.858,13.786
16/07/03 14:30,13.762,13.786,13.834,13.786
16/07/03 14:45,13.762,13.762,13.834,13.786
16/07/03 15:00,13.786,13.786,13.834,13.786
16/07/03 15:15,13.81,13.786,13.834,13.762
16/07/03 15:30,13.81,13.786,13.834,13.762
16/07/03 15:45,13.834,13.786,13.834,13.762
16/07/03 16:00,13.834,13.786,13.834,13.762
16/07/03 16:15,13.858,13.81,13.834,13.762
16/07/03 16:30,13.882,13.81,13.834,13.762
16/07/03 16:45,13.906,13.81,13.834,13.762
16/07/03 17:00,13.93,13.81,13.834,13.762
16/07/03 17:15,13.954,13.81,13.834,13.762
16/07/03 17:30,13.954,13.834,13.834,13.762
16/07/03 17:45,13.978,13.834,13.834,13.762
16/07/03 18:00,14.002,13.834,13.834,13.738
16/07/03 18:15,14.002,13.834,13.834,13.738
16/07/03 18:30,14.026,13.858,13.834,13.738
16/07/03 18:45,14.05,13.858,13.834,13.762
16/07/03 19:00,14.05,13.882,13.858,13.738
16/07/03 19:15,14.074,13.882,13.834,13.738
16/07/03 19:30,14.074,13.882,13.858,13.738
16/07/03 19:45,14.074,13.906,13.858,13.738
16/07/03 20:00,14.098,13.906,13.858,13.738
16/07/03 20:15,14.098,13.906,13.858,13.738
16/07/03 20:30,14.098,13.93,13.858,13.738
16/07/03 20:45,14.122,13.93,13.858,13.738
16/07/03 21:00,14.122,13.93,13.882,13.738
16/07/03 21:15,14.122,13.93,13.882,13.738
16/07/03 21:30,14.122,13.954,13.882,13.738
16/07/03 21:45,14.122,13.954,13.882,13.738
16/07/03 22:00,14.146,13.954,13.882,13.738
16/07/03 22:15,14.146,13.954,13.882,13.738
16/07/03 22:30,14.146,13.954,13.882,13.738
