"Titre de tracé : p053"
"#","Date Heure, GMT+01:00","Tension, V (LGR S/N: 21065769, SEN S/N: 21065769, LBL: tension)","Temp., °C (LGR S/N: 21065769, SEN S/N: 21065769, LBL: temperature)","Hôte connecté (LGR S/N: 21065769)","Arrêté (LGR S/N: 21065769)","Fin de fichier (LGR S/N: 21065769)"
161,10/15/23 04:45:00 AM,1.64038,12.201,,,
162,10/15/23 05:00:00 AM,1.64012,12.154,,,
163,10/15/23 05:15:00 AM,1.64111,12.115,,,
164,10/15/23 05:30:00 AM,1.64233,12.072,,,
165,10/15/23 05:45:00 AM,1.64210,12.028,,,
166,10/15/23 06:00:00 AM,1.64214,11.981,,,
167,10/15/23 06:15:00 AM,1.64137,11.950,,,
168,10/15/23 06:30:00 AM,1.64107,11.907,,,
169,10/15/23 06:45:00 AM,1.64153,11.854,,,
170,10/15/23 07:00:00 AM,1.64153,11.807,,,
171,10/15/23 07:15:00 AM,1.64122,11.756,,,
172,10/15/23 07:30:00 AM,1.64172,11.702,,,
173,10/15/23 07:45:00 AM,1.64168,11.663,,,
174,10/15/23 08:00:00 AM,1.64126,11.625,,,
175,10/15/23 08:15:00 AM,1.64191,11.604,,,
176,10/15/23 08:30:00 AM,1.64214,11.617,,,
177,10/15/23 08:45:00 AM,1.64145,11.652,,,
178,10/15/23 09:00:00 AM,1.64111,11.704,,,
179,10/15/23 09:15:00 AM,1.64092,11.752,,,
180,10/15/23 09:30:00 AM,1.64008,11.796,,,
181,10/15/23 09:45:00 AM,1.64073,11.857,,,
182,10/15/23 10:00:00 AM,1.64096,11.878,,,
183,10/15/23 10:15:00 AM,1.64111,11.898,,,
184,10/15/23 10:30:00 AM,1.63996,11.930,,,
185,10/15/23 10:45:00 AM,1.64038,11.978,,,
186,10/15/23 11:00:00 AM,1.64088,12.028,,,
187,10/15/23 11:15:00 AM,1.63870,12.030,,,
188,10/15/23 11:30:00 AM,1.63714,11.971,,,
189,10/15/23 11:45:00 AM,1.63714,11.993,,,
190,10/15/23 12:00:00 PM,1.63725,11.978,,,
191,10/15/23 12:15:00 PM,1.63619,11.978,,,
192,10/15/23 12:30:00 PM,1.63611,11.968,,,
193,10/15/23 12:45:00 PM,1.63539,11.954,,,
194,10/15/23 01:00:00 PM,1.63622,11.960,,,
195,10/15/23 01:15:00 PM,1.63584,11.974,,,
196,10/15/23 01:30:00 PM,1.63561,12.000,,,
197,10/15/23 01:45:00 PM,1.63561,12.054,,,
198,10/15/23 02:00:00 PM,1.63600,12.071,,,
199,10/15/23 02:15:00 PM,1.63626,12.115,,,
200,10/15/23 02:30:00 PM,1.63519,12.151,,,
201,10/15/23 02:45:00 PM,1.63577,12.184,,,
202,10/15/23 03:00:00 PM,1.63630,12.219,,,
203,10/15/23 03:15:00 PM,1.63642,12.239,,,
204,10/15/23 03:30:00 PM,1.63554,12.264,,,
205,10/15/23 03:45:00 PM,1.63611,12.267,,,
206,10/15/23 04:00:00 PM,1.63424,12.276,,,
207,10/15/23 04:15:00 PM,1.63569,12.269,,,
208,10/15/23 04:30:00 PM,1.63561,12.270,,,
209,10/15/23 04:45:00 PM,1.63558,12.254,,,
210,10/15/23 05:00:00 PM,1.63569,12.233,,,
211,10/15/23 05:15:00 PM,1.63550,12.189,,,
212,10/15/23 05:30:00 PM,1.63546,12.136,,,
213,10/15/23 05:45:00 PM,1.63478,12.071,,,
214,10/15/23 06:00:00 PM,1.63569,12.004,,,
215,10/15/23 06:15:00 PM,1.63527,11.936,,,
216,10/15/23 06:30:00 PM,1.63485,11.868,,,
217,10/15/23 06:45:00 PM,1.63558,11.804,,,
218,10/15/23 07:00:00 PM,1.63539,11.742,,,
219,10/15/23 07:15:00 PM,1.63596,11.686,,,
220,10/15/23 07:30:00 PM,1.63439,11.627,,,
221,10/15/23 07:45:00 PM,1.63508,11.567,,,
222,10/15/23 08:00:00 PM,1.63531,11.508,,,
223,10/15/23 08:15:00 PM,1.63539,11.450,,,
224,10/15/23 08:30:00 PM,1.63508,11.390,,,
225,10/15/23 08:45:00 PM,1.63470,11.329,,,
226,10/15/23 09:00:00 PM,1.63451,11.263,,,
227,10/15/23 09:15:00 PM,1.63497,11.204,,,
228,10/15/23 09:30:00 PM,1.63497,11.137,,,
229,10/15/23 09:45:00 PM,1.63493,11.072,,,
230,10/15/23 10:00:00 PM,1.63542,11.000,,,
231,10/15/23 10:15:00 PM,1.63516,10.934,,,
232,10/15/23 10:30:00 PM,1.63428,10.866,,,
233,10/15/23 10:45:00 PM,1.63481,10.796,,,
234,10/15/23 11:00:00 PM,1.63420,10.731,,,
235,10/15/23 11:15:00 PM,1.63478,10.663,,,
236,10/15/23 11:30:00 PM,1.63527,10.600,,,
237,10/15/23 11:45:00 PM,1.63603,10.531,,,
238,10/16/23 12:00:00 AM,1.63561,10.466,,,
239,10/16/23 12:15:00 AM,1.63584,10.400,,,
240,10/16/23 12:30:00 AM,1.63619,10.335,,,
241,10/16/23 12:45:00 AM,1.63687,10.276,,,
242,10/16/23 01:00:00 AM,1.63710,10.214,,,
243,10/16/23 01:15:00 AM,1.63619,10.155,,,
244,10/16/23 01:30:00 AM,1.63642,10.090,,,
245,10/16/23 01:45:00 AM,1.63630,10.033,,,
246,10/16/23 02:00:00 AM,1.63741,9.967,,,
247,10/16/23 02:15:00 AM,1.63752,9.911,,,
248,10/16/23 02:30:00 AM,1.63748,9.846,,,
249,10/16/23 02:45:00 AM,1.63905,9.786,,,
250,10/16/23 03:00:00 AM,1.63924,9.729,,,
