Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
142,2009/11/24 3:15,15.403,15.651,15.775,15.852,,,
143,2009/11/24 3:30,15.414,15.648,15.773,15.849,,,
144,2009/11/24 3:45,15.455,15.646,15.772,15.848,,,
145,2009/11/24 4:00,15.452,15.645,15.77,15.846,,,
146,2009/11/24 4:15,15.445,15.643,15.767,15.843,,,
147,2009/11/24 4:30,15.436,15.64,15.766,15.842,,,
148,2009/11/24 4:45,15.426,15.637,15.764,15.839,,,
149,2009/11/24 5:00,15.421,15.634,15.763,15.837,,,
150,2009/11/24 5:15,15.381,15.63,15.76,15.834,,,
151,2009/11/24 5:30,15.361,15.625,15.758,15.833,,,
152,2009/11/24 5:45,15.37,15.621,15.755,15.83,,,
153,2009/11/24 6:00,15.302,15.615,15.752,15.828,,,
154,2009/11/24 6:15,15.281,15.609,15.751,15.825,,,
155,2009/11/24 6:30,15.255,15.602,15.748,15.824,,,
156,2009/11/24 6:45,15.257,15.593,15.745,15.821,,,
157,2009/11/24 7:00,15.242,15.585,15.742,15.819,,,
158,2009/11/24 7:15,15.037,15.576,15.737,15.816,,,
159,2009/11/24 7:30,15.007,15.563,15.734,15.813,,,
160,2009/11/24 7:45,14.998,15.551,15.73,15.812,,,
161,2009/11/24 8:00,15.031,15.54,15.725,15.809,,,
162,2009/11/24 8:15,14.978,15.528,15.719,15.806,,,
163,2009/11/24 8:30,14.97,15.518,15.715,15.803,,,
164,2009/11/24 8:45,14.93,15.509,15.709,15.8,,,
165,2009/11/24 9:00,14.913,15.497,15.704,15.797,,,
166,2009/11/24 9:15,14.906,15.484,15.699,15.794,,,
167,2009/11/24 9:30,14.871,15.473,15.691,15.791,,,
168,2009/11/24 9:45,14.834,15.458,15.685,15.788,,,
169,2009/11/24 10:00,14.798,15.445,15.679,15.783,,,
170,2009/11/24 10:15,14.822,15.43,15.673,15.781,,,
171,2009/11/24 10:30,14.812,15.418,15.666,15.776,,,
172,2009/11/24 10:45,14.821,15.408,15.658,15.772,,,
173,2009/11/24 11:00,14.789,15.394,15.652,15.769,,,
