Plot Title: Hobo8,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)","Temp., °C (LGR S/N: 21101045, SEN S/N: 21101045)",Hôte connecté (LGR S/N: 21101045),Arrêté (LGR S/N: 21101045),Fin de fichier (LGR S/N: 21101045)
189,08/29/24 06:15:33 PM,,,,,,,
190,08/29/24 06:25:16 PM,,,,,,,
191,08/29/24 06:25:17 PM,,,,,,,
192,08/29/24 06:25:19 PM,,,,,,,
193,08/29/24 06:25:21 PM,,,,,,,
194,08/29/24 06:25:38 PM,,,,,,,
195,08/29/24 06:25:39 PM,,,,,,,
196,08/29/24 06:25:59 PM,,,,,,,
197,08/29/24 06:26:01 PM,,,,,,,
198,08/29/24 06:26:02 PM,,,,,,,
199,08/29/24 06:26:04 PM,,,,,,,
200,08/29/24 06:27:19 PM,,,,,,,
201,08/29/24 06:27:20 PM,,,,,,,
202,08/29/24 06:27:22 PM,,,,,,,
203,08/29/24 06:27:23 PM,,,,,,,
204,08/29/24 06:28:36 PM,,,,,,,
205,08/29/24 06:28:38 PM,,,,,,,
206,08/29/24 06:30:00 PM,-15.68,16.6,16.716,16.963,,,
207,08/29/24 06:30:04 PM,,,,,,,
208,08/29/24 06:30:06 PM,,,,,,,
209,08/29/24 06:30:11 PM,,,,,,,
210,08/29/24 06:30:13 PM,,,,,,,
211,08/29/24 06:30:15 PM,,,,,,,
212,08/29/24 06:30:16 PM,,,,,,,
213,08/29/24 06:30:23 PM,,,,,,,
214,08/29/24 06:30:24 PM,,,,,,,
215,08/29/24 06:30:28 PM,,,,,,,
216,08/29/24 06:30:32 PM,,,,,,,
217,08/29/24 06:30:41 PM,,,,,,,
218,08/29/24 06:30:44 PM,,,,,,,
219,08/29/24 06:32:33 PM,,,,,,,
220,08/29/24 06:32:35 PM,,,,,,,
221,08/29/24 06:38:16 PM,,,,,,,
222,08/29/24 06:45:00 PM,-14.72,16.604,16.722,16.972,,,
223,08/29/24 07:00:00 PM,-14.649,16.609,16.729,16.981,,,
224,08/29/24 07:15:00 PM,-14.597,16.61,16.734,16.988,,,
