dates_parsed,dH,temperature_stream_C
2016-07-01 04:30:00,-0.01004759400886831,14.906
2016-07-01 04:45:00,-0.009503469071689075,14.876
2016-07-01 05:00:00,-0.009763160899695327,14.849
2016-07-01 05:15:00,-0.009921296141183273,14.821
2016-07-01 05:30:00,-0.009557755753011033,14.795
2016-07-01 05:45:00,-0.00976656056943775,14.771
2016-07-01 06:00:00,-0.009894321689988654,14.746
2016-07-01 06:15:00,-0.009709567554077056,14.719
2016-07-01 06:30:00,-0.009709429433946704,14.692
2016-07-01 06:45:00,-0.009847051784792307,14.664
2016-07-01 07:00:00,-0.00990060683968141,14.638
2016-07-01 07:15:00,-0.00984576767783819,14.611
2016-07-01 07:30:00,-0.0099530159077466,14.586
2016-07-01 07:45:00,-0.009765238171754318,14.562
2016-07-01 08:00:00,-0.009916318346387485,14.541
2016-07-01 08:15:00,-0.010295846481526354,14.524
2016-07-01 08:30:00,-0.009758914731332396,14.514
2016-07-01 08:45:00,-0.009479797195887771,14.506
2016-07-01 09:00:00,-0.010300530258223042,14.499
2016-07-01 09:15:00,-0.009638070557506068,14.505
2016-07-01 09:30:00,-0.009918195959644254,14.512
2016-07-01 09:45:00,-0.009839958427208209,14.515
2016-07-01 10:00:00,-0.01005127265392352,14.536
2016-07-01 10:15:00,-0.010042201853681468,14.545
2016-07-01 10:30:00,-0.010018013053035993,14.569
2016-07-01 10:45:00,-0.009972520931695383,14.587
2016-07-01 11:00:00,-0.010067812881411557,14.601
2016-07-01 11:15:00,-0.010031391560312998,14.61
2016-07-01 11:30:00,-0.00993422199734005,14.625
2016-07-01 11:45:00,-0.009616449970769131,14.635
2016-07-01 12:00:00,-0.009707927890351672,14.646
2016-07-01 12:15:00,-0.010013388079959246,14.655
2016-07-01 12:30:00,-0.00989491519629116,14.664
2016-07-01 12:45:00,-0.009865331505406763,14.673
2016-07-01 13:00:00,-0.010112059186527073,14.686
2016-07-01 13:15:00,-0.010326397013323064,14.704
2016-07-01 13:30:00,-0.010060005675232998,14.758
2016-07-01 13:45:00,-0.01027412606538823,14.783
2016-07-01 14:00:00,-0.010300962396452647,14.831
2016-07-01 14:15:00,-0.01019248886320976,14.864
2016-07-01 14:30:00,-0.010596620159385159,14.904
2016-07-01 14:45:00,-0.010071406739852046,14.957
2016-07-01 15:00:00,-0.010256160875763642,14.984
2016-07-01 15:15:00,-0.010081109337125919,15.022
2016-07-01 15:30:00,-0.009898429738221233,15.054
2016-07-01 15:45:00,-0.010183950030598344,15.076
2016-07-01 16:00:00,-0.009803414028765915,15.094
2016-07-01 16:15:00,-0.009743673653585088,15.099
2016-07-01 16:30:00,-0.010201360004649593,15.113
2016-07-01 16:45:00,-0.010081661817647178,15.13
2016-07-01 17:00:00,-0.010196458791311987,15.145
2016-07-01 17:15:00,-0.010419867418350031,15.154
2016-07-01 17:30:00,-0.01044016287235161,15.161
2016-07-01 17:45:00,-0.010243452456247628,15.173
2016-07-01 18:00:00,-0.010848325635301257,15.197
2016-07-01 18:15:00,-0.01008948680166428,15.224
2016-07-01 18:30:00,-0.009852323597687495,15.249
2016-07-01 18:45:00,-0.009288179446767228,15.266
2016-07-01 19:00:00,-0.009563403635567961,15.305
2016-07-01 19:15:00,-0.009516903647533785,15.324
2016-07-01 19:30:00,-0.009633716354585715,15.337
2016-07-01 19:45:00,-0.00957678214284481,15.346
2016-07-01 20:00:00,-0.009724976837527648,15.355
2016-07-01 20:15:00,-0.009537337221665719,15.358
2016-07-01 20:30:00,-0.010066067918180833,15.349
2016-07-01 20:45:00,-0.010161221747766657,15.336
2016-07-01 21:00:00,-0.010378445054512981,15.324
2016-07-01 21:15:00,-0.010025121453406557,15.315
2016-07-01 21:30:00,-0.010502174708289487,15.303
2016-07-01 21:45:00,-0.010727243511943542,15.29
2016-07-01 22:00:00,-0.010109268065873617,15.279
2016-07-01 22:15:00,-0.01010185744224757,15.266
2016-07-01 22:30:00,-0.010821251354705451,15.251
2016-07-01 22:45:00,-0.010079408134728667,15.234
2016-07-01 23:00:00,-0.009963603294370148,15.22
2016-07-01 23:15:00,-0.010293252284623192,15.205
2016-07-01 23:30:00,-0.010718272541102674,15.17
2016-07-01 23:45:00,-0.010126501629065348,15.133
2016-07-02 00:00:00,-0.010513737140981591,15.088
2016-07-02 00:15:00,-0.010534764221416026,15.04
2016-07-02 00:30:00,-0.010331374808119005,14.984
2016-07-02 00:45:00,-0.010415165863814798,14.928
2016-07-02 01:00:00,-0.010700054359160088,14.876
2016-07-02 01:15:00,-0.010528046933493667,14.816
2016-07-02 01:30:00,-0.010619900922738101,14.752
2016-07-02 01:45:00,-0.009973073412216793,14.695
2016-07-02 02:00:00,-0.010421274602648184,14.637
2016-07-02 02:15:00,-0.010450364616631111,14.581
2016-07-02 02:30:00,-0.010504789418083424,14.527
2016-07-02 02:45:00,-0.010397917257836755,14.477
2016-07-02 03:00:00,-0.010001848895209848,14.429
2016-07-02 03:15:00,-0.01033942269888103,14.379
2016-07-02 03:30:00,-0.010569392715872535,14.334
2016-07-02 03:45:00,-0.01042811496791443,14.291
2016-07-02 04:00:00,-0.011775424873247339,14.25
2016-07-02 04:15:00,-0.010854657280879563,14.207
2016-07-02 04:30:00,-0.010395824942991147,14.167
2016-07-02 04:45:00,-0.01033155942413476,14.129
2016-07-02 05:00:00,-0.01047343067839537,14.09
2016-07-02 05:15:00,-0.010564414921076596,14.054
2016-07-02 05:30:00,-0.010655399163757823,14.018
2016-07-02 05:45:00,-0.010425014786375262,13.982
2016-07-02 06:00:00,-0.010305830789165091,13.951
2016-07-02 06:15:00,-0.01015649010765849,13.916
2016-07-02 06:30:00,-0.010894025620600326,13.883
2016-07-02 06:45:00,-0.010537540299283015,13.85
2016-07-02 07:00:00,-0.01045635848327685,13.822
2016-07-02 07:15:00,-0.010222733069172837,13.796
2016-07-02 07:30:00,-0.01045687267306894,13.774
2016-07-02 07:45:00,-0.010967323648969747,13.756
2016-07-02 08:00:00,-0.010822152554367597,13.744
2016-07-02 08:15:00,-0.01099957538316371,13.724
2016-07-02 08:30:00,-0.010721465714412648,13.715
2016-07-02 08:45:00,-0.010120544685622856,13.721
2016-07-02 09:00:00,-0.010824820597677164,13.721
2016-07-02 09:15:00,-0.010893987329871156,13.727
2016-07-02 09:30:00,-0.010561176619407227,13.718
2016-07-02 09:45:00,-0.011015701250260693,13.708
2016-07-02 10:00:00,-0.010550742395700497,13.708
2016-07-02 10:15:00,-0.010624948461362147,13.709
2016-07-02 10:30:00,-0.010259530459933136,13.712
2016-07-02 10:45:00,-0.011006768570148841,13.744
2016-07-02 11:00:00,-0.012504920700583535,13.784
2016-07-02 11:15:00,-0.010816381594466932,13.804
2016-07-02 11:30:00,-0.010831637715000706,13.816
2016-07-02 11:45:00,-0.010652199152817622,13.838
2016-07-02 12:00:00,-0.010925269488100724,13.852
2016-07-02 12:15:00,-0.010619077672060297,13.898
2016-07-02 12:30:00,-0.011046389902187608,13.915
2016-07-02 12:45:00,-0.011054946512637566,13.954
2016-07-02 13:00:00,-0.010928193258780375,13.978
2016-07-02 13:15:00,-0.010698085121658518,13.996
2016-07-02 13:30:00,-0.011314044834341315,14.009
2016-07-02 13:45:00,-0.010855626856843959,14.05
2016-07-02 14:00:00,-0.011115594925110765,14.077
2016-07-02 14:15:00,-0.013499615383300329,14.12
2016-07-02 14:30:00,-0.011135514309450605,14.159
2016-07-02 14:45:00,-0.011275784190715153,14.203
2016-07-02 15:00:00,-0.011364238510217011,14.217
2016-07-02 15:15:00,-0.011570513403464515,14.243
2016-07-02 15:30:00,-0.011186222175118544,14.319
2016-07-02 15:45:00,-0.011799375724361426,14.328
2016-07-02 16:00:00,-0.011302165135607266,14.36
2016-07-02 16:15:00,-0.011117687239956374,14.387
2016-07-02 16:30:00,-0.011364908597978,14.447
2016-07-02 16:45:00,-0.01162487666624496,14.474
2016-07-02 17:00:00,-0.011147823411362027,14.486
2016-07-02 17:15:00,-0.010978957193016026,14.545
2016-07-02 17:30:00,-0.013731201816074514,14.589
2016-07-02 17:45:00,-0.014013836628501294,14.641
2016-07-02 18:00:00,-0.013896154174886002,14.656
2016-07-02 18:15:00,-0.014207799684785145,14.686
2016-07-02 18:30:00,-0.013777601974707504,14.699
2016-07-02 18:45:00,-0.014158414216800638,14.735
2016-07-02 19:00:00,-0.01335495300838626,14.752
2016-07-02 19:15:00,-0.01376902485136692,14.755
2016-07-02 19:30:00,-0.013753906850963503,14.77
2016-07-02 19:45:00,-0.013825879746597413,14.78
2016-07-02 20:00:00,-0.014206415748429842,14.762
2016-07-02 20:15:00,-0.013752760864139587,14.744
2016-07-02 20:30:00,-0.013856985493967465,14.722
2016-07-02 20:45:00,-0.01398071514774397,14.701
2016-07-02 21:00:00,-0.014344769725708452,14.679
2016-07-02 21:15:00,-0.014377377016673534,14.667
